geoid,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded
06037920034,06,037,920034,Census Tract 9200.34; Los Angeles County; California,5299,469,703,286,13.27,208,295,68,112,276,315.54555930958685,0.0,591.5455593095869,1.1432810119912566,high_uncertainty,5.21,39.26,178125.0,49362.0,0.27712,False
06037920035,06,037,920035,Census Tract 9200.35; Los Angeles County; California,8455,1651,604,106,7.14,218,274,0,19,218,274.6579691179559,0.0,492.6579691179559,1.2598989409080545,high_uncertainty,2.58,36.09,103750.0,25497.0,0.24575421686746987,False
06037920038,06,037,920038,Census Tract 9200.38; Los Angeles County; California,4804,527,482,228,10.03,83,78,0,14,83,79.2464510246358,3.753548975364197,162.2464510246358,0.954776518369106,usable_with_caution,1.73,17.22,77669.0,8886.0,0.1144085799997425,False
06037920039,06,037,920039,Census Tract 9200.39; Los Angeles County; California,1661,179,176,81,10.6,16,19,10,16,26,24.839484696748443,1.1605153032515574,50.83948469674844,0.9553647960287862,usable_with_caution,1.57,14.77,140700.0,17736.0,0.12605543710021322,False
06037920040,06,037,920040,Census Tract 9200.40; Los Angeles County; California,2682,473,136,109,5.07,0,14,0,14,0,19.79898987322333,0.0,19.79898987322333,,zero_estimate,0.0,0.0,144915.0,45185.0,0.3118034710002415,False
06037920041,06,037,920041,Census Tract 9200.41; Los Angeles County; California,4065,391,510,272,12.55,33,39,0,14,33,41.43669871020132,0.0,74.43669871020131,1.2556575366727674,high_uncertainty,0.81,6.47,129375.0,27165.0,0.20997101449275363,False
06037920042,06,037,920042,Census Tract 9200.42; Los Angeles County; California,7539,996,915,374,12.14,45,64,0,19,45,66.76076692189807,0.0,111.76076692189807,1.4835725982644015,high_uncertainty,0.6,4.92,120130.0,10808.0,0.08996920003329727,False
06037920043,06,037,920043,Census Tract 9200.43; Los Angeles County; California,8892,885,2148,316,24.16,21,27,0,19,21,33.015148038438355,0.0,54.015148038438355,1.5721499065923026,high_uncertainty,0.24,0.98,162303.0,24776.0,0.15265275441612294,False
06037920044,06,037,920044,Census Tract 9200.44; Los Angeles County; California,2684,370,378,237,14.08,41,51,10,15,51,53.16013544000805,0.0,104.16013544000805,1.0423555968629028,high_uncertainty,1.9,13.49,102796.0,15346.0,0.1492859644344138,False
06037920045,06,037,920045,Census Tract 9200.45; Los Angeles County; California,4554,520,276,141,6.06,22,36,0,14,22,38.62641583165593,0.0,60.62641583165593,1.7557461741661788,high_uncertainty,0.48,7.97,149167.0,25238.0,0.1691929180046525,False
